EVO Year + Series,Game,Tournament Round,Format,P1,P1 Score,P1 Char,P1 Team,P1 Country,P2,P2 Score,P2 Char,P2 Team,P2 Country,Winner,Special Condition
Championship 2005,Tekken 5,Losers R1,FT2,Hato,2,Bryan,None,JP,Arario,0,Steve/Jack-5,None,US,Hato,Character Switch
Championship 2005,Tekken 5,Losers R1,FT2,TARE,0,Ganryu,None,JP,jra64,2,Nina,None,US,jra64,None
Championship 2005,Tekken 5,Losers R2,FT2,Hato,0,Bryan,None,JP,Yuu,2,Feng,None,JP,Yuu,None
Championship 2005,Tekken 5,Losers R2,FT2,Mishimaster,0,Heihachi,None,JP,jra64,2,Nina,None,US,jra64,None
Championship 2005,Tekken 5,Losers R3,FT2,Yuu,2,Feng,None,JP,jra64,0,Nina,None,US,Yuu,None
Championship 2005,Tekken 5,Losers Finals,FT2,MadDogJin,1,Steve,None,KR,Yuu,2,Feng,None,JP,Yuu,None
Championship 2005,Tekken 5,Semifinals,FT2,MadDogJin,2,Steve,None,KR,Mishimaster,1,Heihachi,None,JP,MadDogJin,None
Championship 2005,Tekken 5,Semifinals,FT2,Crow,2,Steve,None,US,Yuu,1,Feng,None,JP,Crow,None
Championship 2005,Tekken 5,Winners Finals,FT2,MadDogJin,0,Steve,None,KR,Crow,2,Steve,None,US,Crow,None
Championship 2005,Tekken 5,Grand Finals,FT2,Crow,2,Steve,None,US,Yuu,1,Feng,None,JP,Crow,None
Championship 2006,Tekken 5,Losers R1,FT2,jra64,2,Steve,None,US,Jacky Tran,0,Nina,None,US,jra64,None
Championship 2006,Tekken 5,Losers R1,FT2,JinMaster,2,Nina,None,US,Arario,1,Nina,None,US,JinMaster,None
Championship 2006,Tekken 5,Losers R2,FT2,jra64,2,Steve,None,US,Filthy Rich,0,Heihachi,None,US,jra64,None
Championship 2006,Tekken 5,Losers R2,FT2,Justin Wong,2,Feng,None,US,JinMaster,0,Nina,None,US,Justin Wong,None
Championship 2006,Tekken 5,Losers R3,FT2,jra64,2,Steve,None,US,Justin Wong,0,Feng,None,US,jra64,None
Championship 2006,Tekken 5,Losers Finals,FT2,Bronson Tran,2,Ganryu,None,US,jra64,0,Steve/Roger Jr.,None,US,Bronson Tran,Character Switch
Championship 2006,Tekken 5,Semifinals,FT2,Crow,2,Steve,None,US,Justin Wong,0,Feng,None,US,Crow,None
Championship 2006,Tekken 5,Semifinals,FT2,Filthy Rich,1,Heihachi,None,US,Bronson Tran,2,Ganryu,None,US,Bronson Tran,None
Championship 2006,Tekken 5,Winners Finals,FT2,Crow,2,Steve,None,US,Bronson Tran,1,Ganryu,None,US,Crow,None
Championship 2006,Tekken 5,Grand Finals,FT3,Crow,3,Steve,None,US,Bronson Tran,0,Ganryu,None,US,Crow,None
Championship 2007,Tekken 5 DR,Losers R1,FT2,Mr. NAPS (Jimmyjtran),0,Bryan,None,US,Kane,2,Devil Jin,None,US,Kane,None
Championship 2007,Tekken 5 DR,Losers R1,FT2,Slips,2,Eddy Gordo,None,US,725,0,Steve,None,US,Slips,None
Championship 2007,Tekken 5 DR,Losers R2,FT2,Filthy Rich,0,Heihachi,None,US,Kane,2,Devil Jin,None,US,Kane,None
Championship 2007,Tekken 5 DR,Losers R2,FT2,Arario,2,Jack-5,None,US,Slips,1,Eddy,None,US,Arario,None
Championship 2007,Tekken 5 DR,Losers R3,FT2,Kane,1,Devil Jin,None,US,Arario,2,Jack-5,None,US,Arario,None
Championship 2007,Tekken 5 DR,Losers Finals,FT2,Bronson Tran,0,Ganryu,None,US,Arario,2,Jack-5,None,US,Arario,None
Championship 2007,Tekken 5 DR,Semifinals,FT2,Spero Gin,2,Eddy Gordo,None,US,Filthy Rich,1,Heihachi,None,US,Spero Gin,None
Championship 2007,Tekken 5 DR,Semifinals,FT2,Bronson Tran,1,Ganryu,None,US,Arario,2,Jack-5,None,US,Arario,None
Championship 2007,Tekken 5 DR,Winners Finals,FT2,Spero Gin,2,Eddy Gordo,None,US,Bronson Tran,1,Ganryu,None,US,Spero Gin,None
Championship 2007,Tekken 5 DR,Grand Finals,FT3,Spero Gin,1,Eddy Gordo,None,US,Arario,3,Jack-5,None,US,Arario,Reset
Championship 2007,Tekken 5 DR,Grand Finals,FT3,Spero Gin,1,Eddy Gordo,None,US,Arario,3,Jack-5,None,US,Arario,None
Championship 2008,Tekken 5 DR,Losers R1,FT2,VFanatic,2,King,None,US,Rip,1,Marshall Law,None,US,VFanatic,None
Championship 2008,Tekken 5 DR,Losers R1,FT2,Som,0,Feng,None,US,Cano,2,Eddy Gordo,None,US,Cano,None
Championship 2008,Tekken 5 DR,Losers R2,FT2,Lingmassacre,1,Xiaoyu,None,US,VFanatic,2,King,None,US,VFanatic,None
Championship 2008,Tekken 5 DR,Losers R2,FT2,Dj Kor,0,Ganryu,None,US,Cano,2,Eddy Gordo,None,US,Cano,None
Championship 2008,Tekken 5 DR,Losers R3,FT2,VFanatic,0,King,None,US,Cano,2,Eddy Gordo,None,US,Cano,None
Championship 2008,Tekken 5 DR,Losers Finals,FT2,Gandido,2,Devil Jin,None,PR,Cano,0,Eddy Gordo,None,US,Gandido,None
Championship 2008,Tekken 5 DR,Semifinals,FT2,Lingmassacre,1,Xiaoyu,None,US,Gandido,2,Devil Jin,None,PR,Gandido,None
Championship 2008,Tekken 5 DR,Semifinals,FT2,Ryan Hart,2,Kazuya,None,UK,Dj Kor,1,Ganryu,None,US,Ryan Hart,None
Championship 2008,Tekken 5 DR,Winners Finals,FT3,Gandido,0,Devil Jin,None,PR,Ryan Hart,3,Kazuya,None,UK,Ryan Hart,None
Championship 2008,Tekken 5 DR,Grand Finals,FT3,Ryan Hart,3,Kazuya,None,UK,Gandido,2,Devil Jin,None,PR,Ryan Hart,None
Championship 2010,Tekken 6,Losers R1,FT2,Crow,0,Bob/Lars,None,US,Rip,2,Marshall Law,Level Up Your Game,US,Rip,Character Switch
Championship 2010,Tekken 6,Losers R1,FT2,Kor,0,Bob/Lars,None,US,JustFrameJames,2,Marshall Law,None,US,JustFrameJames,Character Switch
Championship 2010,Tekken 6,Losers R2,FT2,Devil Jim,2,Julia,None,US,JustFrameJames,1,Marshall Law,None,US,Devil Jim,None
Championship 2010,Tekken 6,Losers R2,FT2,Tokido,0,Bob,None,JP,Rip,2,Marshall Law,Level Up Your Game,US,Rip,None
Championship 2010,Tekken 6,Losers R3,FT2,Devil Jim,1,Julia,None,US,Rip,2,Marshall Law,Level Up Your Game,US,Rip,None
Championship 2010,Tekken 6,Losers Finals,FT2,Mr. NAPS (Jimmyjtran),0,Bryan/Bruce,compLexity Gaming,US,Rip,2,Marshall Law,Level Up Your Game,US,Rip,Character Switch
Championship 2010,Tekken 6,Semifinals,FT2,Nin,2,Steve,None,KR,Devil Jim,0,Julia,None,US,Nin,None
Championship 2010,Tekken 6,Semifinals,FT2,Tokido,0,Bob,None,JP,Mr. NAPS (Jimmyjtran),2,Bryan,compLexity Gaming,US,Mr. NAPS (Jimmyjtran),None
Championship 2010,Tekken 6,Winners Finals,FT2,Nin,2,Steve,None,KR,Mr. NAPS (Jimmyjtran),0,Bryan,compLexity Gaming,US,Nin,None
Championship 2010,Tekken 6,Grand Finals,FT3,Nin,3,Steve,None,KR,Rip,0,Marshall Law,Level Up Your Game,US,Nin,None
Championship 2011,Tekken 6,Losers R1,FT2,JustFrameJames,2,Marshall Law,CheckSix Gaming,US,Tokido,0,Bob,Mad Catz,JP,JustFrameJames,None
Championship 2011,Tekken 6,Losers R1,FT2,Crow,2,Bob,None,US,Ryan Hart,1,Kazuya,LowLandLions,UK,Crow,None
Championship 2011,Tekken 6,Losers R2,FT2,Kor,2,Bob,Dominion Method Gaming,US,Crow,1,Bob,None,US,Kor,None
